2023-03-20 15:41:37.442 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-03-20 15:41:37.447 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-03-20 15:41:37.448 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-20 15:41:37.448 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2023-03-20 15:41:37.490 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2023-03-20 15:41:37.490 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 831 ms
2023-03-20 15:41:38.405 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-03-20 15:41:38.566 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-03-20 15:41:38.581 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2023-03-20 15:41:38.862 [restartedMain] INFO  com.itmo.eva.EvaApplication - Started EvaApplication in 2.5 seconds (JVM running for 2.871)
2023-03-20 15:41:41.008 [http-nio-8080-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-20 15:41:41.008 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-20 15:41:41.009 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-03-20 15:41:41.033 [http-nio-8080-exec-2] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 9761dba7-0605-4297-a17c-a58fd5078985, path: /api/course/excel/import, ip: 0:0:0:0:0:0:0:1, params: [org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@c92f705]
2023-03-20 15:41:41.295 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-03-20 15:41:41.942 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-03-20 15:42:08.152 [http-nio-8080-exec-3] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 2c63cccc-3e58-44c3-8b9c-8f8763ca2389, path: /api/course/excel/import, ip: 0:0:0:0:0:0:0:1, params: [org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@1fb8774b]
2023-03-20 15:42:45.537 [http-nio-8080-exec-4] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 77905fac-106f-411c-9533-ffdb229a37f0, path: /api/course/excel/import, ip: 0:0:0:0:0:0:0:1, params: [org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@3428b8c9]
2023-03-20 15:42:51.511 [http-nio-8080-exec-5] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: 437237ec-f29c-4adf-bef0-6af527d81c99, path: /api/course/excel/import, ip: 0:0:0:0:0:0:0:1, params: [org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@4ab43747]
2023-03-20 15:44:15.382 [http-nio-8080-exec-6] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: ce1e995b-5a92-4e61-a6cc-d56b267574c4, path: /api/course/excel/import, ip: 0:0:0:0:0:0:0:1, params: [org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@77f8db17]
2023-03-20 15:44:24.016 [http-nio-8080-exec-8] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: d72751e2-88f1-4da6-b129-84c94fee5bfc, path: /api/course/excel/import, ip: 0:0:0:0:0:0:0:1, params: [org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@1879df84]
2023-03-20 15:44:40.637 [http-nio-8080-exec-9] INFO  com.itmo.eva.aop.LogInterceptor - request start，id: e846ae37-fad0-41f0-a484-c38cacd29bae, path: /api/course/excel/import, ip: 0:0:0:0:0:0:0:1, params: [org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@78878f15]
2023-03-20 15:45:09.595 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
